Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Eiosys Private Limited,"S35, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400705 ",09920977236,https://www.google.com/maps/place/Eiosys+Private+Limited/data=!4m7!3m6!1s0x3be7c14e67477781:0xc34f370bd1aa33a3!8m2!3d19.0658439!4d73.002783!16s%2Fg%2F11r92rtsb!19sChIJgXdHZ07B5zsRozOq0Qs3T8M?authuser=0&hl=en&rclk=1,https://www.eiosys.com/,"['sales@eiosys.com', 'saurabh.amishra@gmail.com', ""first '.' last@eiosys.com""]",https://in.linkedin.com/company/eiosys-inc-
"Maxgen Technologies Pvt Ltd | Web Development , Mobile App Development ,Ai Company in Mumbai","1507, Ambience Court, Phase 2, Sector 19D, Vashi, Navi Mumbai, Maharashtra 400703 ",09099039845,"https://www.google.com/maps/place/Maxgen+Technologies+Pvt+Ltd+%7C+Web+Development+,+Mobile+App+Development+,Ai+Company+in+Mumbai/data=!4m7!3m6!1s0x3be7c124c1555555:0xc332ca795af0e1b2!8m2!3d19.0859073!4d73.0091185!16s%2Fg%2F11csq_9n06!19sChIJVVVVwSTB5zsRsuHwWnnKMsM?authuser=0&hl=en&rclk=1",http://www.maxgentechnologies.com/,"['Head Office · pune@maxgentechnologies.com', 'support@tofler.in', 'komal@maxgentechnology.com', 'poojasalvi6895@gmail.com', 'first@maxgentechnology.com']",https://in.linkedin.com/company/maxgen-technologies
CHILLYDIGITAL SOLUTIONS PVT LTD,"Haware Fantasia Business Park, S 197, Plot No. 47, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400705 ",09044443160,https://www.google.com/maps/place/CHILLYDIGITAL+SOLUTIONS+PVT+LTD/data=!4m7!3m6!1s0x3be7c17045ebaec9:0x608e9369bb0801b2!8m2!3d19.0655257!4d73.0022309!16s%2Fg%2F11f9f1g48f!19sChIJya7rRXDB5zsRsgEIu2mTjmA?authuser=0&hl=en&rclk=1,http://www.chillydigital.com/,"['Email: info@chillydigital.com', 'Balmukund@chillydigital.com', 'info@chillydigital.com', 'LEGALSALAH@GMAIL.COM']",https://in.linkedin.com/company/chillydigital
Grexa AI Private Limited,"BSEL Tech Park, B 906, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",08433662884,https://www.google.com/maps/place/Grexa+AI+Private+Limited/data=!4m7!3m6!1s0x3be7c15b209f8a51:0xa05586204e7bb42!8m2!3d19.0647291!4d72.9996651!16s%2Fg%2F11vzf5hnm6!19sChIJUYqfIFvB5zsRQrvnBGJYBQo?authuser=0&hl=en&rclk=1,https://grexa.ai/book-free-demo,"['hello@grexa.ai', 'support@grexa.ai', 'contact@ipoplatform.com']",https://in.linkedin.com/company/grexa-ai
Limra Technosys Pvt Ltd,"602, Platinum Techno Park, Bhagwan Mahaveer Rd, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",09321883486,https://www.google.com/maps/place/Limra+Technosys+Pvt+Ltd/data=!4m7!3m6!1s0x3be7c139ed36f4f9:0x4788e726ed5a3f8!8m2!3d19.0652357!4d72.9957417!16s%2Fg%2F11fkp31nf1!19sChIJ-fQ27TnB5zsR-KPVbnKOeAQ?authuser=0&hl=en&rclk=1,https://www.limratechnosys.com/,"['first@limratechnosys.com', 'mihir@limratechnosys.com', 'info@limratechnosys.com']",https://in.linkedin.com/company/limra-technosys-pvt-ltd
RUGR SIL PVT.LTD.,"Plot No 41/13, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",02241561111,https://www.google.com/maps/place/RUGR+SIL+PVT.LTD./data=!4m7!3m6!1s0x3be7b93eb6a31f5b:0x66aa7220172902c4!8m2!3d19.0670388!4d73.0063862!16s%2Fg%2F11b6hq4hfx!19sChIJWx-jtj655zsRxAIpFyByqmY?authuser=0&hl=en&rclk=1,http://www.sil.co.in/,['Email: *****@sil.co.in'],https://in.linkedin.com/company/rugr
Sysmarche Infotech - Mobile App Development Company,"2nd Floor, Haware Fantasia Business Park, S153, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",08652362400,https://www.google.com/maps/place/Sysmarche+Infotech+-+Mobile+App+Development+Company/data=!4m7!3m6!1s0x3be7cf55221ea79b:0xf38c58a598fee331!8m2!3d19.0654093!4d73.0024231!16s%2Fg%2F11gkyztl86!19sChIJm6ceIlXP5zsRMeP-mKVYjPM?authuser=0&hl=en&rclk=1,https://sysmarche.com/,"['info@sysmarche.com', 'HR@SYSMARCHE.COM', 'info@shaktiwebsolution.com']",https://in.linkedin.com/company/sysmarche-infotech
Aimbeat Technology Pvt Ltd,"Haware Infotech Park, Four Points Hotel, 1906, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",09699925003,https://www.google.com/maps/place/Aimbeat+Technology+Pvt+Ltd/data=!4m7!3m6!1s0x3be7c14de7000011:0xd2f7ab98747fcb22!8m2!3d19.0657434!4d72.9993002!16s%2Fg%2F11ggs8t2tt!19sChIJEQAA503B5zsRIst_dJir99I?authuser=0&hl=en&rclk=1,https://aimbeatsoftech.com/,"['support@aimbeatsoftech.com', 'info@aimbeatsoftech.com']",https://in.linkedin.com/company/aimbeat-softech-pvt-ltd
ScrapeNext Technologies,"706, Plot No. 86, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703 ",Not present on google business profiles,https://www.google.com/maps/place/ScrapeNext+Technologies/data=!4m7!3m6!1s0x3be7c7a240068127:0x3a4c5a74655ee91!8m2!3d19.0690305!4d73.0007235!16s%2Fg%2F11h3fs302z!19sChIJJ4EGQKLH5zsRke5VRqfFpAM?authuser=0&hl=en&rclk=1,https://scrapenext.com/,"['info@scrapenext.com', 'sauravgopinathpanda@gmail.com', 'first_initial}{last}@scrapenext.com', 'info@apel.co.in']",https://in.linkedin.com/company/scrapenext-technologies
TransPacific Software Pvt. Ltd,"3rd floor, Platinum Techno Park, 325, Bhagwan Mahaveer Rd, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",02240127817,https://www.google.com/maps/place/TransPacific+Software+Pvt.+Ltd/data=!4m7!3m6!1s0x3be7c8df7aa56867:0x1b50ef027aa811e8!8m2!3d19.0652231!4d72.9957695!16s%2Fg%2F1v_vrcr8!19sChIJZ2ilet_I5zsR6BGoegLvUBs?authuser=0&hl=en&rclk=1,https://www.transpacific-software.com/contacts.html,"['prashant.telang@transpacific.in', 'info@transpacific.in', ""first '.' last@transpacific-software.com""]",https://in.linkedin.com/company/transpacific-software-pvt--ltd
